age_group,fatalities,leading_causes_of_death,year
All Ages,1766,Unintentional injuries: motor vehicle,1995
All Ages,2271,Unintentional injuries: all other,1995
All Ages,3887,Pneumonia and influenza,1995
All Ages,2655,Diabetes mellitus,1995
All Ages,1569,Nephritis,1995
All Ages,1494,HIV infection,1995
All Ages,1323,Homicide,1995
All Ages,1239,Septicemia,1995
All Ages,1183,Chronic liver disease & cirrhosis,1995
Ages 1-4,331,All Causes,1995
Ages 1-4,112,Unintentional injuries,1995
Ages 1-4,42,Unintentional injuries: motor vehicle,1995
Ages 1-4,70,Unintentional injuries: all other,1995
Ages 1-4,35,Congenital anomalies,1995
Ages 1-4,29,Homicide,1995
Ages 1-4,23,Malignant neoplasms,1995
Ages 1-4,18,Heart disease,1995
Ages 1-4,8,Pneumonia and influenza,1995
Ages 1-4,8,Infantile cerebral palsy,1995
Ages 1-4,7,Septicemia,1995
Ages 1-4,5,Meningitis,1995
Ages 1-4,4,Certain conditions originating in the perinatal period,1995
Ages 5-14,398,All Causes,1995
Ages 5-14,150,Unintentional injuries,1995
Ages 5-14,87,Unintentional injuries: motor vehicle,1995
Ages 5-14,63,Unintentional injuries: all other,1995
Ages 5-14,49,Homicide,1995
Ages 5-14,44,Malignant neoplasms,1995
Ages 5-14,18,Heart disease,1995
Ages 5-14,17,Congenital anomalies,1995
Ages 5-14,12,Infantile cerebral palsy,1995
Ages 5-14,10,Benign neoplasms,1995
Ages 5-14,9,Suicide,1995
Ages 5-14,7,Muscular dystrophy,1995
Ages 5-14,6,Undetermined origins,1995
Ages 5-14,6,Chronic obstructivepulmonary diseases and other allied conditions,1995
Ages 15-24,1643,All Causes,1995
Ages 15-24,581,Unintentional injuries,1995
Ages 15-24,451,Unintentional injuries: motor vehicle,1995
Ages 15-24,130,Unintentional injuries: all other,1995
Ages 15-24,514,Homicide,1995
Ages 15-24,187,Suicide,1995
Ages 15-24,57,Malignant neoplasms,1995
Ages 15-24,50,Heart disease,1995
Ages 15-24,24,Congenital anomalies,1995
Ages 15-24,15,Pneumonia and influenza,1995
Ages 15-24,15,HIV infection,1995
Ages 15-24,15,Chronic obstructive pulmonary diseases and other allied conditions,1995
Ages 25-44,6940,All Causes,1995
Ages 25-44,1253,Unintentional injuries,1995
Ages 25-44,580,Unintentional injuries: motor vehicle,1995
Ages 25-44,673,Unintentional injuries: all other,1995
Ages 25-44,1072,HIV infection,1995
Ages 25-44,1010,Malignant neoplasms,1995
Ages 25-44,859,Heart disease,1995
Ages 25-44,529,Homicide,1995
Ages 25-44,442,Suicide,1995
Ages 25-44,251,Chronic liver disease and cirrhosis,1995
Ages 25-44,168,Cerebrovascular disease,1995
Ages 25-44,127,Pneumonia and influenza,1995
Ages 25-44,115,Diabetes mellitus,1995
Ages 45-64,17159,All Causes,1995
Ages 45-64,6051,Malignant neoplasms,1995
Ages 45-64,5027,Heart disease,1995
Ages 45-64,688,Unintentional injuries,1995
Ages 45-64,270,Unintentional injuries: motor vehicle,1995
Ages 45-64,418,Unintentional injuries: all other,1995
Ages 45-64,659,Cerebrovascular disease,1995
Ages 45-64,567,Chronic obstructive pulmonary diseases and other allied conditions,1995
Ages 45-64,523,Diabetes mellitus,1995
Ages 45-64,449,Chronic liver disease and cirrhosis,1995
Ages 45-64,364,HIV infection,1995
Ages 45-64,275,Pneumonia and influenza,1995
Ages 45-64,261,Suicide,1995
Age 65 and Older,79894,All Causes,1995
Age 65 and Older,29814,Heart disease,1995
Age 65 and Older,17828,Malignant neoplasms,1995
Age 65 and Older,6651,Cerebrovascular disease,1995
Age 65 and Older,3811,Chronic obstructive pulmonary diseases and other allied conditions,1995
Age 65 and Older,3426,Pneumonia and influenza,1995
Age 65 and Older,2003,Diabetes mellitus,1995
Age 65 and Older,1342,Nephritis,1995
Age 65 and Older,1194,Unintentional injuries,1995
Age 65 and Older,330,Unintentional injuries: motor vehicle,1995
Age 65 and Older,864,Unintentional injuries: all other,1995
Age 65 and Older,1030,Alzheimer's disease,1995
Age 65 and Older,985,Septicemia,1995
All Ages,105701,All Causes,1996
All Ages,34271,Heart disease,1996
All Ages,24693,Malignant neoplasms,1996
All Ages,7446,Cerebrovascular disease,1996
All Ages,4427,Chronic obstructive pulmonary diseases and other allied conditions,1996
All Ages,3998,Pneumonia and influenza,1996
All Ages,3762,Unintentional injuries,1996
All Ages,1679,Unintentional injuries: motor vehicle,1996
All Ages,2083,Unintentional injuries: all other,1996
All Ages,2661,Diabetes mellitus,1996
All Ages,1609,Nephritis,1996
All Ages,1326,Septicemia,1996
All Ages,1301,Homicide,1996
All Ages,1186,Chronic liver disease & cirrhosis,1996
All Ages,1151,Alzheimer's disease,1996
Ages 1-4,279,All Causes,1996
Ages 1-4,92,Unintentional injuries,1996
Ages 1-4,34,Unintentional injuries: motor vehicle,1996
Ages 1-4,58,Unintentional injuries: all other,1996
Ages 1-4,28,Congenital anomalies,1996
Ages 1-4,21,Homicide,1996
Ages 1-4,17,Malignant neoplasms,1996
Ages 1-4,16,Heart disease,1996
Ages 1-4,15,Pneumonia and influenza,1996
Ages 1-4,7,Septicemia,1996
Ages 1-4,6,Certain conditions originating in the perinatal period,1996
Ages 1-4,5,Benign neoplasms,1996
Ages 1-4,5,Infantile cerebral palsy,1996
Ages 5-14,367,All Causes,1996
Ages 5-14,135,Unintentional injuries,1996
Ages 5-14,80,Unintentional injuries: motor vehicle,1996
Ages 5-14,55,Unintentional injuries: all other,1996
Ages 5-14,42,Malignant neoplasms,1996
Ages 5-14,32,Homicide,1996
Ages 5-14,25,Congenital anomalies,1996
Ages 5-14,13,Heart disease,1996
Ages 5-14,13,Infantile cerebral palsy,1996
Ages 5-14,8,Suicide,1996
Ages 5-14,6,Anemia,1996
Ages 5-14,6,Chronic obstructive pulmonary diseases and otehr allied conditions,1996
Ages 5-14,5,Cerebrovascular disease,1996
Ages 5-14,5,Pneumonia and influenza,1996
Ages 15-24,1563,All Causes,1996
Ages 15-24,553,Homicide,1996
Ages 15-24,526,Unintentional injuries,1996
